stream,bag.type,sample.date,leaf.species,sampleID,chamber,empty.vial.wt.g(FB),start.time,start.do.mg.l,end.time,end.do.mg.l,vial.and.leaf.mass.g,leaf.mass.g,time.elapsed,tim.epapsed.decimal
WS55,coarse,2021-04-12,acer,10,315,8.0485,11:31,8.8,13:38,8.55,8.0901,0.0416,2:07,2.116666667
WS55,coarse,2021-04-12,acer,12,220,8.0331,11:09,8.74,13:22,8.37,8.0746,0.0415,2:13,2.216666667
WS55,coarse,2021-04-12,acer,14,240,7.9969,11:26,8.74,13:35,8.51,8.0702,0.0733,2:09,2.15
WS55,coarse,2021-04-12,acer,17,275,8.1587,11:13,8.73,13:26,8.23,8.2149,0.0562,2:13,2.216666667
WS55,coarse,2021-04-12,acer,18,341,7.9109,11:21,8.74,13:32,8.22,8.0014,0.0905,2:11,2.183333333
WS55,coarse,2021-04-12,acer,21,NA,8.0565,NA,NA,NA,NA,NA,NA,NA,NA
TOWR,coarse,2021-04-12,acer,43,220,8.0619,14:22,8.75,16:32,8.37,8.1249,0.063,2:10,2.166666667
TOWR,coarse,2021-04-12,acer,47,341,7.9912,14:07,8.53,16:12,8.24,8.0608,0.0696,2:05,2.083333333
TOWR,coarse,2021-04-12,acer,50,240,8.0706,14:13,8.58,16:22,8.11,8.1406,0.07,2:09,2.15
TOWR,coarse,2021-04-12,acer,57,253,7.9356,14:03,8.54,16:05,8.38,7.9763,0.0407,2:02,2.033333333
TOWR,coarse,2021-04-12,acer,72,315,7.9574,13:58,8.53,15:59,8.34,7.9749,0.0175,2:01,2.016666667
TOWR,coarse,2021-04-12,acer,79,280,8.0837,14:18,8.59,16:27,8.46,8.1322,0.0485,2:09,2.15
WS55,coarse,2021-05-03,rhodo,87,275,8.2094,15:31,9.97,17:35,9.53,8.3051,0.0957,2:04,2.066666667
WS55,coarse,2021-05-03,rhodo,97,220,8.3086,15:29,9.93,17:34,9.35,8.377,0.0684,2:05,2.083333333
WS55,coarse,2021-05-03,rhodo,99,315,8.0325,15:28,9.88,17:31,9.17,8.1149,0.0824,2:03,2.05
WS55,coarse,2021-05-03,rhodo,103,285,7.9835,15:24,9.84,17:29,9.62,8.0388,0.0553,2:05,2.083333333
WS55,coarse,2021-05-03,rhodo,104,295,8.3706,15:26,9.97,17:30,9.19,8.4506,0.08,2:04,2.066666667
WS55,coarse,2021-05-03,rhodo,124,280,8.0407,15:22,10.01,17:27,9.89,8.1675,0.1268,2:05,2.083333333
TOWR,coarse,2021-05-03,rhodo,132,341,8.1741,12:39,9.57,14:44,8.5,8.2941,0.12,2:05,2.083333333
TOWR,coarse,2021-05-03,rhodo,135,216,8.2235,12:43,9.56,14:48,8.77,8.3305,0.107,2:05,2.083333333
TOWR,coarse,2021-05-03,rhodo,136,253,8.2647,12:48,9.58,14:52,8.84,8.3294,0.0647,2:04,2.066666667
TOWR,coarse,2021-05-03,rhodo,142,220,8.2827,12:47,9.56,14:51,8.55,8.4032,0.1205,2:04,2.066666667
TOWR,coarse,2021-05-03,rhodo,143,315,8.2526,12:45,9.58,14:49,8.65,8.3507,0.0981,2:04,2.066666667
TOWR,coarse,2021-05-03,rhodo,145,337,8.3757,12:41,9.56,14:46,8.52,8.4865,0.1108,2:05,2.083333333
TOWR,coarse,2021-05-03,blank,NA,blank,NA,12:50,9.63,14:54,9.67,NA,NA,2:04,2.066666667
WS55,coarse,2021-05-03,blank,NA,blank,NA,15:33,10.04,17:37,10.08,NA,NA,2:04,2.066666667
WS55,coarse,2021-04-12,blank,NA,blank,NA,11:19,8.74,13:30,8.65,NA,NA,2:11,2.183333333
TOWR,coarse,2021-04-12,blank,NA,blank,NA,14:11,8.5,16:20,8.56,NA,NA,2:09,2.15
WS55,fine,2021-04-12,acer,10,284,8.025,11:33,8.87,13:40,8.52,8.0696,0.0446,2:07,2.116666667
WS55,fine,2021-04-12,acer,12,337,7.9668,11:11,8.71,13:24,8.11,8.0227,0.0559,2:13,2.216666667
WS55,fine,2021-04-12,acer,14,285,8.0065,11:29,8.81,13:37,8.45,8.0326,0.0261,2:08,2.133333333
WS55,fine,2021-04-12,acer,17,216,8.0733,11:15,8.73,13:28,8.31,8.125,0.0517,2:13,2.216666667
WS55,fine,2021-04-12,acer,18,253,8.0261,11:24,8.77,13:33,8.09,8.0862,0.0601,2:09,2.15
WS55,fine,2021-04-12,acer,21,280,7.9857,11:17,8.73,13:29,8.39,8.016,0.0303,2:12,2.2
TOWR,fine,2021-04-12,acer,43,295,8.0737,14:24,8.75,16:09,8.48,8.1262,0.0525,1:45,1.75
TOWR,fine,2021-04-12,acer,47,337,8.0635,14:09,8.58,16:12,8.19,8.124,0.0605,2:03,2.05
TOWR,fine,2021-04-12,acer,50,216,8.1033,14:15,8.65,16:25,8.19,8.175,0.0717,2:10,2.166666667
TOWR,fine,2021-04-12,acer,57,285,7.958,14:05,8.54,16:07,8.21,7.9821,0.0241,2:02,2.033333333
TOWR,fine,2021-04-12,acer,72,284,8.0903,14:00,8.44,16:03,8.08,8.1398,0.0495,2:03,2.05
TOWR,fine,2021-04-12,acer,79,275,8.0137,14:20,8.68,16:30,8.33,8.058,0.0443,2:10,2.166666667
WS55,fine,2021-05-03,rhodo,87,240,8.2688,15:44,10.04,17:45,9.96,8.325,0.0562,2:01,2.016666667
WS55,fine,2021-05-03,rhodo,97,284,8.1518,15:43,10.04,17:43,9.79,8.2239,0.0721,2:00,2
WS55,fine,2021-05-03,rhodo,99,253,8.1662,15:40,10.08,17:42,9.56,8.2577,0.0915,2:02,2.033333333
WS55,fine,2021-05-03,rhodo,103,337,8.1455,15:37,10.03,17:39,9.52,8.2359,0.0904,2:02,2.033333333
WS55,fine,2021-05-03,rhodo,104,216,8.3442,15:39,10.04,17:40,9.63,8.4242,0.08,2:01,2.016666667
WS55,fine,2021-05-03,rhodo,124,341,8.3043,15:35,10.06,17:38,9.53,8.3921,0.0878,2:03,2.05
TOWR,fine,2021-05-03,rhodo,132,284,8.4309,12:51,9.64,14:56,8.97,8.4968,0.0659,2:05,2.083333333
TOWR,fine,2021-05-03,rhodo,135,240,8.2465,12:55,9.53,14:58,8.44,8.3613,0.1148,2:03,2.05
TOWR,fine,2021-05-03,rhodo,136,380,8.2526,13:01,9.67,15:03,9.09,8.3169,0.0643,2:02,2.033333333
TOWR,fine,2021-05-03,rhodo,142,285,8.1998,12:59,9.67,15:02,8.79,8.3003,0.1005,2:03,2.05
TOWR,fine,2021-05-03,rhodo,143,295,8.1704,12:57,9.67,15:00,8.99,8.2491,0.0787,2:03,2.05
TOWR,fine,2021-05-03,rhodo,145,275,8.1056,12:53,9.65,14:57,9,8.1778,0.0722,2:04,2.066666667
TOWR,fine,2021-05-03,blank,NA,blank,NA,13:02,9.73,15:04,9.7,NA,NA,2:02,2.033333333
WS55,fine,2021-05-03,blank,NA,blank,NA,15:42,10.14,17:46,10.05,NA,NA,2:04,2.066666667
WS55,fine,2021-04-12,blank,NA,blank,NA,11:34,8.86,13:42,8.8,NA,NA,2:08,2.133333333
TOWR,fine,2021-04-12,blank,NA,blank,NA,14:26,8.83,16:34,8.76,NA,NA,2:08,2.133333333
